year,undergrad,grad,total
1870,0,0,278
1880,0,0,379
1890,0,0,519
1900,0,0,2505
1910,3281,357,4609
1920,7427,452,8757
1930,10455,1280,13446
1940,11370,1534,14208
1950,13036,3670,17162
1959,15561,4241,20219
1960,17003,4524,21955
1961,17829,4789,23059
1962,18551,5134,24169
1963,19274,5751,25611
1964,19958,6380,27020
1965,20114,7078,27941
1966,20786,7498,29120
1967,22017,7494,30407
1968,22949,8048,31850
1969,23431,8462,32759
1970,24558,8458,34018
1971,23105,8127,32296
1972,24695,8117,33857
1973,25780,7894,34651
1974,25848,8199,35045
1975,25789,8264,35118
1976,24769,7704,33552
1977,25347,7518,33946
1978,25454,7305,33840
1979,26161,7296,34597
1980,26516,7343,35049
1981,26641,7583,35367
1982,26340,7631,35162
1983,26030,7667,34887
1984,26153,7706,35021
1985,27280,7839,36269
1986,27235,8186,36587
1987,27115,8353,36598
1988,26935,8269,36311
1989,26032,8173,35321
1990,26513,8415,36041
1991,26416,8841,36312
1992,25900,9038,36090
1993,26399,9176,36720
1994,26472,8915,36527
1995,26754,8822,36775
1996,26809,8480,36429
1997,26948,8202,36303
1998,27533,7910,36571
1999,27928,7874,36976
2000,27954,8055,37214
2001,28255,8509,38038
2002,28389,8966,38613
2003,28712,9218,39174
2004,29288,9267,39626
2005,30453,9188,40670
2006,30935,9362,41342
2007,30688,9225,40923
2008,31174,9290,41496
2009,31209,9622,41910
2010,31252,9584,41949
2011,31932,9551,42606
2012,31901,9881,42883
2013,32294,10080,43398
2014,32579,10037,43603
2015,32878,10245,44087
2016,33467,10428,44880
2017,33624,13210,47826
2018,33673,14672,49339
2019,33850,16319,51196
2020,33492,17802,52331
